pDisease,biomarker
0.0,0.0
0.05,0.5128205128205128
0.1,0.6896551724137931
0.15000000000000002,0.7792207792207793
0.2,0.8333333333333334
0.25,0.8695652173913043
0.30000000000000004,0.8955223880597016
0.35000000000000003,0.9150326797385621
0.4,0.9302325581395349
0.45,0.9424083769633508
0.5,0.9523809523809523
0.55,0.9606986899563319
0.6000000000000001,0.967741935483871
0.65,0.9737827715355805
0.7000000000000001,0.979020979020979
0.75,0.9836065573770492
0.8,0.9876543209876543
0.8500000000000001,0.9912536443148688
0.9,0.994475138121547
0.9500000000000001,0.9973753280839895
1.0,1.0
